                                                                                                                                                                     
                                                                                                                                                                     
{'loss': '0.0009046', 'grad_norm': '0.03163', 'learning_rate': '8.424e-05', 'entropy': '0.003312', 'num_tokens': '6.436e+05', 'mean_token_accuracy': '1', 'epoch': '1.905'}
{'loss': '0.001616', 'grad_norm': '0.03614', 'learning_rate': '8.374e-05', 'entropy': '0.003742', 'num_tokens': '6.531e+05', 'mean_token_accuracy': '0.9995', 'epoch': '1.952'}
{'loss': '0.003399', 'grad_norm': '0.5686', 'learning_rate': '8.325e-05', 'entropy': '0.006842', 'num_tokens': '6.702e+05', 'mean_token_accuracy': '0.9986', 'epoch': '2'}
{'eval_loss': '0.02303', 'eval_runtime': '71.79', 'eval_samples_per_second': '12.17', 'eval_steps_per_second': '12.17', 'eval_entropy': '0.01177', 'eval_num_tokens': '6.702e+05', 'eval_mean_token_accuracy': '0.9939', 'epoch': '2'}
{'loss': '0.001573', 'grad_norm': '0.04211', 'learning_rate': '8.276e-05', 'entropy': '0.004588', 'num_tokens': '6.815e+05', 'mean_token_accuracy': '0.9994', 'epoch': '2.048'}
{'loss': '0.001272', 'grad_norm': '0.03162', 'learning_rate': '8.227e-05', 'entropy': '0.004131', 'num_tokens': '7.073e+05', 'mean_token_accuracy': '0.9997', 'epoch': '2.095'}
{'loss': '0.0008045', 'grad_norm': '0.0278', 'learning_rate': '8.177e-05', 'entropy': '0.00318', 'num_tokens': '7.208e+05', 'mean_token_accuracy': '0.9998', 'epoch': '2.143'}
{'loss': '0.0005392', 'grad_norm': '0.01138', 'learning_rate': '8.128e-05', 'entropy': '0.003021', 'num_tokens': '7.329e+05', 'mean_token_accuracy': '1', 'epoch': '2.19'}
{'loss': '0.000983', 'grad_norm': '0.03599', 'learning_rate': '8.079e-05', 'entropy': '0.002962', 'num_tokens': '7.49e+05', 'mean_token_accuracy': '1', 'epoch': '2.238'}
{'loss': '0.001574', 'grad_norm': '0.0616', 'learning_rate': '8.03e-05', 'entropy': '0.003848', 'num_tokens': '7.598e+05', 'mean_token_accuracy': '0.9993', 'epoch': '2.286'}
{'loss': '0.0007712', 'grad_norm': '0.02357', 'learning_rate': '7.98e-05', 'entropy': '0.002793', 'num_tokens': '7.755e+05', 'mean_token_accuracy': '0.9999', 'epoch': '2.333'}
{'loss': '0.001055', 'grad_norm': '0.03215', 'learning_rate': '7.931e-05', 'entropy': '0.002824', 'num_tokens': '7.864e+05', 'mean_token_accuracy': '0.9997', 'epoch': '2.381'}
{'loss': '0.0009539', 'grad_norm': '0.02732', 'learning_rate': '7.882e-05', 'entropy': '0.003312', 'num_tokens': '7.979e+05', 'mean_token_accuracy': '0.9997', 'epoch': '2.429'}
{'loss': '0.002729', 'grad_norm': '0.1624', 'learning_rate': '7.833e-05', 'entropy': '0.003596', 'num_tokens': '8.302e+05', 'mean_token_accuracy': '0.9991', 'epoch': '2.476'}
{'loss': '0.002031', 'grad_norm': '0.05748', 'learning_rate': '7.783e-05', 'entropy': '0.00494', 'num_tokens': '8.442e+05', 'mean_token_accuracy': '0.9994', 'epoch': '2.524'}
{'loss': '0.001019', 'grad_norm': '0.0276', 'learning_rate': '7.734e-05', 'entropy': '0.002491', 'num_tokens': '8.539e+05', 'mean_token_accuracy': '0.9993', 'epoch': '2.571'}
{'loss': '0.003731', 'grad_norm': '0.6785', 'learning_rate': '7.685e-05', 'entropy': '0.008474', 'num_tokens': '8.713e+05', 'mean_token_accuracy': '0.9988', 'epoch': '2.619'}
{'loss': '0.001276', 'grad_norm': '0.05595', 'learning_rate': '7.635e-05', 'entropy': '0.00303', 'num_tokens': '8.785e+05', 'mean_token_accuracy': '0.9993', 'epoch': '2.667'}
{'loss': '0.001332', 'grad_norm': '0.07803', 'learning_rate': '7.586e-05', 'entropy': '0.002718', 'num_tokens': '8.933e+05', 'mean_token_accuracy': '0.9996', 'epoch': '2.714'}
{'loss': '0.0005871', 'grad_norm': '0.01602', 'learning_rate': '7.537e-05', 'entropy': '0.002256', 'num_tokens': '9.141e+05', 'mean_token_accuracy': '1', 'epoch': '2.762'}
{'loss': '0.00156', 'grad_norm': '0.06325', 'learning_rate': '7.488e-05', 'entropy': '0.003863', 'num_tokens': '9.363e+05', 'mean_token_accuracy': '0.9997', 'epoch': '2.81'}
{'loss': '0.00307', 'grad_norm': '0.1066', 'learning_rate': '7.438e-05', 'entropy': '0.004415', 'num_tokens': '9.699e+05', 'mean_token_accuracy': '0.9992', 'epoch': '2.857'}
{'loss': '0.002693', 'grad_norm': '0.1218', 'learning_rate': '7.389e-05', 'entropy': '0.002962', 'num_tokens': '9.84e+05', 'mean_token_accuracy': '0.9994', 'epoch': '2.905'}
{'loss': '0.002178', 'grad_norm': '0.07309', 'learning_rate': '7.34e-05', 'entropy': '0.005128', 'num_tokens': '9.954e+05', 'mean_token_accuracy': '0.9997', 'epoch': '2.952'}
{'loss': '0.001568', 'grad_norm': '0.05477', 'learning_rate': '7.291e-05', 'entropy': '0.002308', 'num_tokens': '1.005e+06', 'mean_token_accuracy': '0.9995', 'epoch': '3'}
{'eval_loss': '0.02312', 'eval_runtime': '71.29', 'eval_samples_per_second': '12.26', 'eval_steps_per_second': '12.26', 'eval_entropy': '0.01163', 'eval_num_tokens': '1.005e+06', 'eval_mean_token_accuracy': '0.9939', 'epoch': '3'}
{'train_runtime': '1277', 'train_samples_per_second': '2.631', 'train_steps_per_second': '0.164', 'train_loss': '0.002394', 'epoch': '3'}
✅✅ Training finished. Saving model to ckpt/conversion/qwen3_vl_4b_i_sft_lora_conversion/v1.1/20260824_174005/...
✅✅ Script completed.
